"year","category_code","category_name","previous_year_price","average_price","percent_change"
2007,"117101",Rajská jablka červená kulatá,57.83,40.32,-30.28
2008,"117401",Konzumní brambory,14.10,10.78,-23.55
2009,"111303",Pečivo pšeničné bílé,54.31,38.83,-28.50
2010,"111303",Pečivo pšeničné bílé,38.83,33.54,-13.62
2011,"117101",Rajská jablka červená kulatá,42.21,30.31,-28.19
2012,"117401",Konzumní brambory,13.53,10.56,-21.95
2013,"114701",Vejce slepičí čerstvá,35.92,30.49,-15.12
2014,"117401",Konzumní brambory,16.93,13.52,-20.14
2015,"114501",Eidamská cihla,150.61,119.39,-20.73
2016,"111201",Pšeničná mouka hladká,12.59,11.03,-12.39
2017,"117106",Mrkev,18.55,15.03,-18.98
2018,"118101",Cukr krystalový,19.96,15.75,-21.09
